start_date,home_team,away_team,spread,total,home_points,away_points,home_win_prob,home_ml,away_ml,model_spread,model_total,model_home_points,model_away_points,model_home_win_prob,model_home_ml,model_away_ml,market_spread,market_total,market_provider_count,market_providers,market_provider_lines,market_primary_provider,spread_vs_market,total_vs_market,prob_sigma,spread_edge,spread_edge_abs,spread_edge_direction,total_edge,total_edge_abs,win_prob_edge,win_prob_edge_abs,provider_count
2025-11-08T00:00Z,MORGAN ST,DELWARE ST,-3.7881913336727027,54.195585410404746,25.203697038366023,28.991888372038723,0.4064207326714421,146.0504397565806,-146.0504397565806,2.5393622210909896,53.485284701349165,28.012323461220078,25.472961240129088,0.5446004621840366,-119.58739896748008,119.58739896748008,-6.5,54.5,1,Fanduel,"{""Fanduel"": {""away_moneyline"": null, ""home_moneyline"": null, ""last_updated"": ""2025-11-04T12:27:52Z"", ""open_spread_home"": 6.5, ""open_total"": 54.5, ""source"": ""OddsLogic"", ""spread_away"": -6.5, ""spread_home"": 6.5, ""total"": 54.5}}",Fanduel,2.7118086663272973,-0.3044145895952539,16.0,9.03936222109099,9.03936222109099,home,-1.0147152986508345,1.0147152986508345,,,1
2025-11-08T00:00Z,COLUMBIA,HARVARD,-20.944920225947627,49.0435351237175,14.049307448884935,34.99422767483256,0.09525743465913877,949.7868261709086,-949.7868261709081,-3.3164007531587543,52.645117079058316,24.66435816294978,27.980758916108535,0.4418376263403516,126.32748783366193,-126.32748783366193,-28.5,47.5,1,Fanduel,"{""Fanduel"": {""away_moneyline"": null, ""home_moneyline"": null, ""last_updated"": ""2025-11-04T12:28:17Z"", ""open_spread_home"": 28.5, ""open_total"": 47.5, ""source"": ""OddsLogic"", ""spread_away"": -28.5, ""spread_home"": 28.5, ""total"": 47.5}}",Fanduel,7.555079774052373,1.543535123717497,16.0,25.183599246841247,25.183599246841247,home,5.145117079058316,5.145117079058316,,,1
2025-11-08T17:00Z,ST FRANCIS,MERCYHURST,4.249761726662758,50.8150718213723,27.532416774017527,23.282655047354773,0.574361567520388,-134.94119038414132,134.94119038414132,4.249761726662758,50.8150718213723,27.532416774017527,23.282655047354773,0.574361567520388,-134.94119038414132,134.94119038414132,,,0,,,,,,16.0,,,,,,,,0
2025-11-08T17:00Z,LIUSHAR,DUQUESNE,0.5875649878843212,52.02467299605855,26.306118991971434,25.718554004087114,0.5103402176825653,-104.22342943242253,104.22342943242253,0.5875649878843212,52.02467299605855,26.306118991971434,25.718554004087114,0.5103402176825653,-104.22342943242253,104.22342943242253,,,0,,,,,,16.0,,,,,,,,0
2025-11-08T17:00Z,CENT CT ST,Stonehill,10.551657954600312,51.405348936220406,30.97850344541036,20.426845490810045,0.6792184083175457,-211.7385866050295,211.7385866050295,10.551657954600312,51.405348936220406,30.97850344541036,20.426845490810045,0.6792184083175457,-211.7385866050295,211.7385866050295,,,0,,,,,,16.0,,,,,,,,0
2025-11-08T17:00Z,LEHIGH,HOLY CROSS,-12.545780181089917,47.57877750701744,17.516498662963762,30.06227884405368,0.21648741407720856,361.9206175391599,-361.92061753915976,13.014066063033605,52.4292583567248,32.721662209879206,19.707596146845596,0.7170668405608704,-253.44036802979988,253.44036802979988,-23.5,45.5,1,Fanduel,"{""Fanduel"": {""away_moneyline"": null, ""home_moneyline"": null, ""last_updated"": ""2025-11-04T12:24:50Z"", ""open_spread_home"": 23.5, ""open_total"": 45.5, ""source"": ""OddsLogic"", ""spread_away"": -23.5, ""spread_home"": 23.5, ""total"": 45.5}}",Fanduel,10.954219818910083,2.078777507017442,16.0,36.5140660630336,36.5140660630336,home,6.929258356724802,6.929258356724802,,,1
2025-11-08T17:00Z,ROB MORRIS,WAGNER,4.766928959080217,50.490405233400956,27.628667096240587,22.86173813716037,0.5832854524458446,-139.97242377770408,139.97242377770408,4.766928959080217,50.490405233400956,27.628667096240587,22.86173813716037,0.5832854524458446,-139.97242377770408,139.97242377770408,,,0,,,,,,16.0,,,,,,,,0
2025-11-08T17:00Z,CHATTNOOGA,FURMAN,8.647679115687454,53.05760390081746,30.852641508252457,22.204962392565005,0.6485895231381055,-184.56749751174985,184.56749751174985,8.647679115687454,53.05760390081746,30.852641508252457,22.204962392565005,0.6485895231381055,-184.56749751174985,184.56749751174985,,,0,,,,,,16.0,,,,,,,,0
2025-11-08T17:00Z,STNY BROOK,NC A&T,9.002976124811482,53.21386129534961,31.108418710080546,22.105442585269063,0.6543863674861169,-189.3404385487689,189.3404385487689,9.002976124811482,53.21386129534961,31.108418710080546,22.105442585269063,0.6543863674861169,-189.3404385487689,189.3404385487689,,,0,,,,,,16.0,,,,,,,,0
2025-11-08T17:00Z,MONMOUTH,NEW HAMP,14.43320714090382,54.00059825786334,34.21690269938358,19.783695558479756,0.7378591271038681,-281.4742771518237,281.4742771518237,14.43320714090382,54.00059825786334,34.21690269938358,19.783695558479756,0.7378591271038681,-281.4742771518237,281.4742771518237,,,0,,,,,,16.0,,,,,,,,0
